935 2814
862 202 716
842 862 144
19 408 445
225 419 91
830 498 300
188 451 246
509 555 158
525 866 817
587 911 645
854 835 239
707 607 88
919 279 273
856 436 520
143 754 318
333 73 241
276 623 3
647 5 619
625 358 598
560 81 750
390 890 327
743 238 847
474 671 972
396 678 132
792 327 703
792 382 46
671 444 857
585 407 853
434 51 958
810 465 465
260 635 224
182 656 828
360 44 232
556 935 226
561 684 975
43 661 328
202 218 849
749 344 816
494 504 43
82 367 249
711 641 788
708 186 40
850 22 159
278 691 673
634 700 798
597 784 35
309 283 283
876 804 576
399 119 852
122 56 718
189 733 871
467 457 607
721 816 7
695 815 209
554 194 518
870 374 570
509 772 952
874 158 564
386 480 53
162 664 596
535 376 876
115 291 892
648 131 331
501 818 787
249 111 116
316 814 961
826 711 787
809 453 415
313 361 840
627 839 554
456 845 456
748 894 42
479 899 497
141 208 269
59 223 312
337 377 520
547 365 379
259 883 502
513 152 507
601 779 557
27 341 974
698 641 677
64 282 907
288 716 779
613 2 966
303 662 401
537 135 67
369 822 194
552 797 48
759 44 531
560 251 666
463 501 63
122 140 676
380 625 747
285 358 433
41 400 163
717 487 365
391 637 320
73 189 27
87 852 741
399 109 624
592 802 161
54 677 941
204 242 102
288 716 157
801 810 853
295 336 32
733 667 48
14 656 832
591 495 970
144 133 24
122 770 129
756 203 523
184 730 705
219 684 601
662 724 611
440 10 380
374 749 345
94 5 224
104 173 708
80 824 877
307 299 469
668 87 585
887 116 569
832 560 679
3 781 450
590 633 402
316 147 313
410 369 51
428 87 836
309 588 79
627 12 255
231 329 498
102 177 40
276 812 574
384 898 540
308 238 216
896 100 628
757 627 805
856 524 518
857 296 867
466 4 270
42 666 645
247 578 335
753 37 411
794 896 743
853 743 38
406 617 229
820 761 418
467 362 329
352 520 517
821 634 99
246 730 33
829 483 599
621 525 962
679 776 763
686 386 249
207 344 673
47 397 179
791 606 903
847 68 960
240 769 368
307 60 67
1 488 148
153 904 344
490 870 61
464 161 53
790 578 553
423 523 326
482 141 419
116 438 531
31 741 502
83 47 541
451 161 472
135 185 413
324 147 74
42 508 10
22 723 457
369 63 139
244 119 493
643 402 916
267 53 239
651 385 995
101 444 708
232 178 900
595 137 574
453 22 938
484 721 655
138 441 428
220 458 411
600 728 148
581 426 486
640 869 548
641 93 728
454 430 695
758 492 690
580 829 33
908 389 953
780 924 774
295 239 385
223 176 881
548 861 192
790 418 277
534 620 588
213 45 713
446 524 467
783 500 126
251 203 509
271 576 933
133 291 267
427 904 534
59 366 982
762 565 550
369 173 357
202 524 94
612 478 101
434 850 657
489 702 658
311 516 858
674 58 257
67 226 412
804 921 649
6 707 345
488 782 133
528 750 136
787 403 5
437 514 253
801 608 890
562 401 393
461 79 972
502 203 840
436 184 415
333 114 752
419 544 827
403 398 503
202 31 303
547 686 96
466 273 848
858 523 179
930 354 307
54 889 32
762 258 38
52 191 908
17 776 902
684 482 22
789 475 994
399 861 681
869 257 97
293 658 807
831 492 41
403 297 783
551 756 739
206 458 32
232 37 733
75 541 724
282 468 411
817 602 961
434 699 860
816 309 728
807 835 191
259 102 369
438 500 611
828 599 719
276 299 162
754 901 50
370 598 419
482 581 106
738 58 406
892 149 811
549 753 111
654 590 461
866 932 378
287 549 68
649 217 368
297 174 866
771 880 117
793 900 778
8 164 137
708 272 17
422 231 523
836 341 517
757 842 112
715 391 46
710 451 299
486 778 265
883 47 185
757 285 254
242 817 817
856 314 116
414 781 506
483 671 510
395 344 518
440 48 178
931 811 626
796 844 742
654 681 934
522 529 732
425 406 731
579 394 140
758 794 810
424 771 814
491 771 374
856 22 435
834 756 949
891 202 193
344 900 792
690 349 171
854 506 152
757 729 152
493 698 706
686 87 4
109 283 381
493 508 887
147 234 220
125 57 184
272 93 173
213 1 722
811 663 980
519 406 107
214 704 676
342 878 982
603 239 122
672 23 922
98 253 64
479 140 593
766 149 678
641 188 252
73 216 530
556 587 11
79 873 379
815 76 79
362 747 6
44 396 162
909 192 69
463 312 846
636 182 720
116 202 333
663 752 402
664 186 860
516 335 937
141 129 188
141 847 713
821 552 346
675 115 74
778 90 731
54 353 173
305 739 859
833 889 632
82 449 271
154 496 669
805 892 444
625 479 174
205 644 954
116 32 706
920 727 880
307 877 415
635 935 289
71 808 119
33 599 278
396 55 271
756 190 505
594 329 687
450 297 588
723 927 750
458 444 532
197 63 101
755 126 615
330 220 631
298 866 432
81 325 940
33 152 836
146 715 527
491 216 658
650 23 745
759 3 392
173 238 35
368 217 622
267 603 440
570 689 300
114 347 204
804 682 65
678 83 987
271 141 397
556 286 754
775 625 886
809 842 428
153 234 824
507 512 431
901 236 911
820 175 142
842 604 512
360 287 482
200 202 185
257 99 659
415 702 737
871 246 989
579 46 900
276 522 357
613 577 24
67 494 506
1 860 822
660 213 382
531 479 353
615 320 214
138 438 638
812 59 105
377 27 122
192 276 465
77 232 625
525 892 124
838 621 282
706 596 538
903 97 74
782 874 433
31 864 153
887 355 77
473 761 197
317 509 696
720 128 189
257 754 599
10 745 632
259 105 10
348 687 809
786 607 55
192 727 192
612 249 950
695 912 482
731 87 697
790 612 719
484 25 354
846 749 157
689 532 847
167 121 620
687 794 622
495 100 802
157 705 956
407 499 309
125 255 18
68 659 532
371 908 482
178 60 114
43 326 614
735 336 985
486 258 643
115 237 713
130 294 247
80 919 233
760 861 511
644 435 343
868 827 387
711 803 230
921 548 796
809 585 892
85 545 468
225 439 739
295 38 42
629 229 209
167 134 189
888 568 879
131 837 287
753 680 840
134 713 154
333 870 743
190 779 598
674 17 923
98 301 150
891 747 170
521 805 247
221 641 596
400 155 65
268 160 82
96 124 36
666 434 860
275 263 305
255 851 840
829 159 163
832 438 294
502 782 981
681 571 938
245 394 727
458 530 849
332 23 675
64 696 463
2 97 768
397 323 830
911 79 762
411 632 890
30 92 853
679 531 16
263 782 144
474 829 669
466 257 274
474 56 487
661 233 709
371 794 588
728 144 683
433 605 850
838 209 179
170 65 700
876 19 879
94 765 581
714 248 783
742 864 672
824 880 703
492 842 548
286 785 614
830 85 692
420 53 567
868 928 63
662 761 654
133 273 605
264 212 23
289 908 705
665 816 369
288 564 848
266 625 228
553 284 380
278 89 65
417 213 69
745 550 123
404 613 650
295 541 987
586 617 773
555 681 221
495 242 342
315 225 656
695 225 558
698 387 79
716 24 288
324 294 844
516 688 407
567 914 963
133 350 561
421 351 751
260 550 888
50 136 53
499 594 389
62 700 931
593 680 385
921 862 957
300 647 814
748 188 148
59 759 813
408 606 346
507 598 758
577 90 381
249 441 29
753 531 540
738 633 325
882 781 948
658 390 547
69 370 815
927 140 993
178 317 293
380 265 58
375 402 139
453 12 946
873 908 181
417 536 100
308 552 262
528 371 209
200 779 787
144 386 439
64 565 192
681 113 754
301 496 739
769 774 582
761 210 773
434 59 460
557 606 36
129 801 155
273 151 866
481 80 84
853 226 555
818 625 922
124 765 347
245 687 574
805 880 502
79 559 919
920 431 365
437 270 862
669 350 583
610 386 269
662 809 289
647 610 879
643 200 494
190 593 586
657 405 549
715 678 240
83 810 214
101 560 711
813 323 698
787 548 235
264 906 964
55 931 345
168 230 854
57 927 801
810 372 105
88 260 302
220 918 445
570 476 774
448 268 877
722 546 698
897 391 819
473 744 30
410 55 530
542 544 328
529 623 102
461 94 259
806 584 25
617 46 145
311 307 697
386 109 98
469 709 239
705 77 804
570 191 928
777 657 738
821 225 355
854 142 471
257 102 946
182 266 778
750 76 270
809 204 815
842 254 655
790 527 114
343 326 664
603 91 600
419 555 281
894 550 701
834 860 884
7 3 398
731 578 588
267 492 96
423 696 169
497 932 142
699 74 983
486 230 792
624 137 97
383 888 964
514 619 320
477 706 94
588 117 424
678 141 566
691 100 930
868 785 412
596 757 68
129 439 930
528 370 269
907 492 627
177 618 965
353 130 631
119 411 526
262 227 794
551 388 559
107 425 257
180 417 161
32 448 948
694 376 37
558 374 894
165 82 328
318 793 107
893 315 973
393 303 406
797 447 966
197 610 387
339 206 542
269 513 826
474 284 679
758 847 917
104 788 828
611 651 802
1 77 224
17 650 556
364 16 755
682 325 57
448 551 268
438 858 758
19 328 972
99 50 430
795 459 66
259 774 224
81 461 88
526 592 355
502 195 385
285 222 656
531 294 241
715 350 874
618 650 369
624 584 375
625 740 177
728 242 794
546 466 226
916 171 194
503 152 497
792 499 685
846 594 418
686 719 716
188 235 963
354 218 352
379 808 966
529 552 729
416 2 299
305 758 498
81 326 703
825 853 426
259 738 607
88 890 189
714 251 855
337 108 511
149 589 329
356 611 33
699 69 983
800 916 774
413 669 741
268 500 300
508 617 829
932 313 747
633 411 201
653 147 990
915 431 955
93 845 812
362 535 68
331 295 527
151 335 86
380 344 662
888 598 873
293 230 415
55 227 715
450 550 492
429 411 122
653 178 796
917 811 748
13 566 868
4 320 338
266 70 880
185 362 720
669 705 548
576 761 620
7 375 156
74 900 541
352 394 315
318 504 204
897 47 497
168 143 749
39 886 224
71 206 642
154 806 395
38 480 436
388 855 544
569 4 63
661 274 164
34 111 510
434 824 265
228 548 12
558 52 164
43 38 897
66 467 583
165 667 665
770 81 414
14 46 420
859 761 737
426 296 988
881 443 679
378 894 529
696 469 639
515 710 386
650 249 287
738 179 166
378 796 157
836 455 891
297 5 966
85 492 698
758 422 681
925 691 130
811 415 283
817 586 340
802 857 446
413 646 474
709 723 931
728 527 864
173 23 2
489 82 19
772 617 893
656 207 840
213 294 469
280 262 230
179 133 793
731 459 95
929 444 374
803 389 196
794 442 553
526 377 73
659 74 139
640 357 455
118 761 734
730 666 580
235 645 653
149 2 73
173 787 591
836 541 641
935 109 879
738 911 471
422 239 968
8 919 207
391 535 995
283 92 108
63 653 963
250 174 997
523 481 839
553 213 827
541 269 354
154 272 196
776 505 23
178 148 223
749 57 136
293 584 524
649 739 348
638 670 426
579 312 920
306 600 359
175 428 482
797 440 401
41 585 711
242 609 626
444 674 526
762 427 452
85 29 701
547 578 251
551 675 445
517 866 807
219 810 461
611 661 734
196 657 61
520 255 830
696 420 151
659 483 546
79 802 151
259 861 934
729 815 816
732 748 945
584 172 775
56 862 174
616 300 973
884 722 941
777 813 251
353 127 419
391 849 905
395 643 222
236 624 680
132 414 33
60 783 23
416 10 385
923 140 746
865 516 971
364 197 338
67 331 641
831 632 85
419 212 816
890 445 593
304 317 756
341 430 47
614 377 919
462 239 342
444 468 166
733 590 662
42 787 375
5 758 489
379 174 886
648 680 981
691 792 508
384 841 419
283 683 223
548 506 850
20 112 645
308 375 607
498 100 940
292 367 392
783 822 480
561 486 400
919 872 920
18 165 871
442 486 925
804 728 862
234 32 214
509 688 804
280 799 129
811 553 153
684 207 197
416 239 245
142 892 581
339 447 969
160 675 263
363 846 732
237 94 135
858 69 366
791 96 86
329 535 145
293 1 326
168 935 729
766 597 128
738 876 337
334 224 534
114 355 450
73 708 679
355 249 362
289 223 378
752 925 673
717 751 142
477 515 371
256 787 489
205 133 105
294 370 973
44 662 846
271 546 770
597 751 260
833 646 82
403 599 234
486 891 91
19 415 148
514 332 726
798 659 12
537 349 494
919 387 519
799 50 320
233 852 625
2 306 974
101 623 988
859 400 398
56 689 619
569 86 399
250 259 205
271 467 105
315 920 602
890 769 886
427 933 816
197 504 204
40 355 199
835 613 556
287 737 741
289 414 921
129 699 788
378 241 68
798 845 919
314 737 616
879 229 499
781 728 890
820 513 407
48 866 627
20 373 959
348 685 966
228 305 921
720 794 838
508 231 276
486 165 93
412 361 917
499 82 918
633 882 419
422 455 854
560 194 123
835 469 132
601 721 587
862 849 614
366 795 813
453 866 230
35 611 952
375 484 607
589 376 119
23 566 7
750 158 400
370 256 863
629 563 710
681 536 585
896 71 191
841 353 282
238 774 12
67 148 505
757 474 155
651 236 618
704 853 669
658 566 497
446 73 734
280 689 802
811 533 473
361 637 844
341 478 285
4 831 441
679 870 720
861 679 582
576 74 42
536 831 50
423 387 885
813 214 410
802 372 52
21 553 95
590 758 114
385 611 769
450 807 533
711 812 154
32 912 263
67 473 832
101 866 42
543 318 607
86 463 456
308 62 698
788 752 379
786 742 424
266 134 502
406 103 926
396 264 996
523 314 44
860 370 632
664 777 212
627 363 72
627 414 963
28 340 629
773 630 921
568 856 828
624 376 969
639 850 546
400 468 592
144 175 196
322 438 702
213 501 230
465 337 812
831 383 218
574 765 687
428 666 803
744 719 78
549 306 323
40 715 414
332 538 817
659 594 883
899 196 5
561 54 488
193 531 792
449 58 341
126 399 574
245 646 972
345 559 200
295 570 648
656 232 679
162 730 204
768 258 749
673 459 753
739 427 901
808 827 339
460 529 436
722 170 405
206 728 510
9 347 835
920 347 101
865 25 359
2 126 610
631 474 882
712 446 376
765 302 942
515 711 144
770 125 929
517 287 877
911 291 99
236 811 271
488 854 978
419 349 122
190 602 657
853 329 329
273 12 257
331 288 82
142 474 393
409 539 916
315 230 646
425 132 233
79 624 125
752 40 600
922 813 644
869 544 775
342 549 797
470 185 531
531 810 690
344 401 333
828 684 724
310 849 163
706 40 219
227 299 899
582 374 634
762 654 268
66 68 767
717 634 182
886 529 269
147 440 299
640 904 309
859 206 688
657 892 766
846 568 598
730 61 407
118 131 281
919 792 60
701 1 818
427 729 434
647 212 166
604 618 509
614 291 894
9 887 503
21 415 92
527 156 417
879 236 879
481 101 114
598 686 295
933 577 167
618 104 509
757 173 232
844 625 131
724 357 845
648 663 182
496 903 36
450 569 359
589 459 155
340 190 582
112 602 303
328 187 687
467 507 568
29 193 405
777 915 316
491 305 317
17 727 339
839 150 736
223 628 303
160 674 148
164 543 65
307 496 490
326 622 840
145 232 490
97 630 201
875 254 38
904 258 127
853 788 343
279 636 118
816 242 692
463 92 410
935 354 681
860 556 444
554 842 941
253 64 203
888 313 874
596 60 306
85 620 357
2 261 249
577 415 491
93 203 250
389 364 911
730 97 631
44 371 50
347 309 273
272 267 52
854 790 507
164 51 402
313 551 40
217 601 123
332 574 688
777 837 421
50 407 335
911 884 814
357 457 201
227 823 340
818 238 747
91 205 742
548 894 410
2 471 697
321 737 570
737 338 413
921 708 370
434 241 23
834 781 517
518 787 253
355 369 830
336 574 20
136 267 151
526 685 821
917 28 168
8 20 195
364 588 728
775 766 62
238 65 547
835 892 852
763 775 537
10 750 930
547 232 980
860 486 824
59 84 611
315 882 307
430 510 411
186 832 633
216 124 506
803 686 902
728 558 432
267 718 635
870 18 444
211 919 952
190 114 891
11 112 851
272 148 68
529 650 252
228 102 546
680 225 305
632 124 724
556 675 792
135 542 457
166 522 973
387 911 410
124 272 974
573 310 404
523 873 702
620 402 261
679 163 314
467 807 535
889 544 766
343 853 362
660 495 745
611 552 962
132 56 917
798 575 676
289 103 413
813 405 205
240 164 59
576 371 717
334 385 123
360 173 288
871 10 380
615 322 529
774 212 84
62 785 709
645 571 8
629 663 725
862 874 641
638 196 308
414 327 934
486 685 831
469 528 336
473 411 633
138 423 876
111 11 219
50 293 366
155 591 718
772 328 636
479 741 369
409 699 930
402 419 941
878 140 5
222 87 571
755 931 300
491 113 50
830 758 426
702 273 588
694 577 943
507 481 955
740 573 194
93 875 514
531 184 183
569 226 806
388 749 755
218 615 546
193 276 686
856 891 495
134 929 631
896 663 539
363 582 236
785 811 550
64 927 246
915 211 493
686 478 387
531 167 106
525 532 705
180 485 286
696 2 180
149 3 160
575 601 768
772 558 81
203 608 942
877 93 243
43 641 54
415 79 577
121 102 132
853 118 345
239 387 777
766 209 147
680 94 617
364 69 355
23 431 584
223 774 142
839 320 253
340 276 164
35 421 57
447 905 284
669 205 233
40 58 420
547 15 175
385 793 479
216 304 270
842 475 50
545 412 35
446 323 508
546 412 683
98 361 174
71 43 451
486 907 56
442 684 748
401 100 781
408 267 658
625 602 934
750 774 702
138 863 131
478 769 130
666 599 279
514 146 307
745 157 117
28 383 3
815 917 861
356 255 664
225 709 21
761 380 514
898 580 34
271 785 393
549 243 416
925 654 616
675 348 435
167 792 160
59 920 985
908 196 216
217 196 955
867 792 369
549 451 301
186 652 764
864 806 108
600 515 522
33 739 668
480 171 231
760 631 110
513 930 554
464 244 626
176 241 22
913 774 265
434 138 809
634 768 685
367 259 659
466 439 165
226 532 974
326 545 336
159 656 386
66 410 3
858 578 151
886 132 394
695 541 154
188 498 437
761 164 338
45 788 39
711 435 598
657 155 790
595 74 229
929 78 577
14 635 875
6 423 573
154 689 930
589 871 199
184 658 4
115 501 226
743 753 64
311 565 147
39 400 715
631 871 58
706 602 629
532 85 4
788 763 992
659 517 814
626 93 6
400 32 780
38 571 684
74 183 489
609 7 683
694 708 569
893 545 157
614 218 498
88 5 484
614 774 853
247 498 507
679 264 653
155 556 811
344 740 567
456 176 50
872 320 310
909 128 320
58 633 491
516 281 790
256 569 235
335 464 49
384 300 320
406 387 398
501 888 864
611 187 124
457 230 23
289 127 795
526 678 469
807 381 283
274 484 802
723 700 174
618 725 811
744 639 526
214 627 847
629 115 378
697 112 961
578 891 178
555 481 931
67 332 972
80 25 766
174 806 854
181 383 406
38 789 899
439 826 685
599 763 437
694 915 303
374 361 931
98 388 678
580 94 975
505 83 402
204 158 541
741 498 847
45 824 351
594 735 84
509 668 621
395 490 580
547 549 136
405 81 764
768 490 150
815 294 177
783 385 251
199 170 633
802 516 253
510 227 649
145 359 959
573 224 113
601 865 25
471 634 31
476 158 305
379 596 274
644 832 278
131 547 909
270 130 48
512 309 225
579 507 989
577 708 645
748 628 197
303 512 606
931 929 927
118 179 623
494 152 212
447 522 972
934 77 532
573 612 708
108 275 957
879 119 425
598 440 375
693 436 399
439 128 504
387 307 728
61 559 847
43 599 810
350 426 973
228 256 168
141 229 34
329 918 813
56 402 870
777 393 572
831 422 344
436 783 933
107 495 691
578 295 99
248 800 486
686 212 293
272 423 801
154 654 868
422 510 537
185 108 614
872 4 997
921 281 180
118 121 933
330 601 218
97 208 291
549 459 988
393 734 15
596 381 400
254 805 632
396 722 416
910 488 423
924 597 402
645 62 445
203 721 488
579 368 829
815 121 815
799 92 854
32 410 761
670 187 620
654 143 219
487 828 974
769 386 379
187 773 403
899 636 594
722 164 17
656 10 817
819 572 813
707 512 844
509 154 157
451 300 566
156 63 285
383 846 110
285 644 641
40 156 140
825 119 776
514 725 1000
658 382 86
686 108 798
848 934 171
477 420 493
282 1 952
668 383 721
5 184 831
109 271 509
198 430 474
814 612 111
917 705 772
246 143 747
829 389 258
748 674 39
836 333 808
546 418 830
855 908 593
573 697 477
78 598 503
899 309 995
788 755 792
8 308 400
389 746 954
754 521 267
615 808 864
675 494 885
373 295 989
426 522 14
589 517 712
177 571 717
534 513 739
849 163 471
195 614 846
66 133 264
898 919 360
842 549 263
723 662 39
396 655 726
42 140 450
213 474 185
86 415 630
397 777 614
669 122 661
344 99 534
279 303 522
72 48 454
887 62 226
196 232 606
105 621 764
293 601 644
335 116 355
746 931 958
642 892 592
682 786 666
535 384 202
653 866 357
696 889 872
791 5 18
623 332 299
154 509 776
777 893 845
282 132 477
484 250 780
791 54 942
893 908 357
578 653 55
327 657 669
781 426 185
214 194 405
316 416 426
136 693 231
443 757 130
138 41 889
862 329 363
629 402 857
107 489 815
692 794 450
487 830 894
7 885 756
269 376 676
370 534 606
854 305 337
228 172 905
522 233 872
253 662 753
188 192 267
496 613 945
888 628 470
408 412 359
147 826 401
668 787 676
850 370 71
217 1 375
364 583 471
116 589 716
324 51 925
782 658 285
552 402 449
441 282 950
934 223 983
32 79 347
98 714 168
480 222 716
743 573 663
13 458 395
495 456 601
246 127 358
703 854 930
688 682 639
913 550 857
10 769 549
871 728 57
730 915 384
310 741 37
262 733 700
130 82 492
604 903 825
237 254 541
409 481 757
804 780 181
754 445 101
238 497 575
377 658 148
877 900 70
675 661 940
249 461 747
499 386 863
523 318 781
418 722 985
452 485 522
646 97 202
315 337 852
690 266 158
335 320 896
97 449 416
33 761 446
392 587 106
139 804 795
615 86 198
267 150 511
683 360 582
48 342 543
902 257 872
370 856 498
500 752 601
213 668 743
400 583 74
261 418 995
314 205 692
23 225 958
327 735 923
33 895 428
388 240 888
546 364 968
496 201 335
241 288 169
733 6 226
247 906 235
176 487 306
532 358 599
707 287 320
307 315 971
460 809 861
476 23 27
905 298 503
527 652 47
321 371 514
615 497 948
920 706 154
645 389 600
180 160 419
331 327 19
437 151 403
235 23 5
271 536 538
850 580 338
85 821 907
770 860 975
268 737 489
534 837 303
772 414 552
367 569 515
366 872 156
729 380 940
103 151 940
3 839 447
720 484 207
862 601 520
620 206 342
640 468 750
93 128 450
57 610 150
165 320 315
646 201 278
912 658 658
266 606 622
405 700 810
117 339 463
577 769 213
683 893 716
382 665 90
543 37 8
699 620 826
185 224 183
267 362 305
572 402 597
6 682 560
530 29 665
142 216 151
816 140 143
668 122 774
364 205 246
513 343 550
134 834 547
474 339 105
721 55 223
458 424 909
388 64 364
228 851 797
99 69 378
180 195 648
906 908 677
15 222 258
245 668 853
229 466 409
664 187 462
265 506 611
618 534 910
192 897 310
157 35 446
202 66 530
49 646 941
881 124 363
12 599 106
539 445 575
434 3 367
158 33 440
170 186 51
933 302 468
406 311 678
369 412 983
804 35 256
679 603 257
860 560 689
415 364 759
731 202 895
746 209 619
723 787 691
209 844 849
364 202 971
223 452 956
299 356 67
204 535 156
572 788 698
281 751 153
930 883 818
79 786 202
916 478 74
744 33 954
645 230 74
680 702 208
587 479 142
758 683 345
212 884 713
590 29 943
99 577 587
887 770 466
444 582 186
342 574 594
82 215 881
158 471 962
319 526 913
468 780 855
415 385 823
733 178 336
862 586 45
145 457 416
784 226 436
484 63 913
634 265 668
411 671 501
735 161 636
761 801 316
931 568 661
920 866 248
685 616 838
828 286 708
151 354 984
445 668 570
655 856 280
703 448 241
11 630 396
48 753 296
637 686 645
84 395 722
530 584 243
240 95 27
875 864 19
263 256 190
837 583 721
265 861 942
339 182 460
75 293 234
456 631 532
464 587 997
138 274 45
549 897 841
438 899 110
405 398 106
91 648 240
821 409 817
443 767 783
541 49 364
894 764 5
459 803 230
342 786 218
511 281 171
120 614 665
321 300 914
642 49 925
185 666 937
931 913 786
72 719 848
828 336 657
497 655 43
638 641 932
52 135 31
706 666 497
300 197 808
93 97 874
623 735 391
241 166 166
581 93 935
239 918 858
642 454 952
613 136 51
204 599 3
854 537 956
321 572 855
652 909 872
671 764 330
863 4 471
244 423 944
419 634 406
456 219 675
118 267 74
812 74 97
438 52 871
500 23 674
173 219 374
393 839 873
368 448 767
614 475 557
745 730 653
240 908 267
168 576 352
761 13 432
878 38 584
83 849 749
213 714 316
794 428 700
129 487 323
491 64 295
489 885 919
687 463 64
267 861 436
635 180 271
748 341 615
553 8 14
78 515 651
248 597 886
930 505 678
663 935 270
790 402 457
415 365 136
335 560 700
537 310 240
196 916 456
919 379 827
439 483 755
574 262 874
872 213 357
774 860 661
789 413 749
382 148 827
840 374 134
185 641 667
277 314 340
282 177 457
4 240 821
502 130 586
197 93 455
580 511 719
12 850 17
256 484 280
