849 887
385 476 549
34 146 -527
176 373 383
771 680 -696
414 160 -710
525 532 128
525 323 459
574 177 837
38 478 -849
686 734 -904
74 50 860
16 293 984
185 93 84
666 240 -235
549 80 -791
227 306 -596
720 323 767
710 701 378
547 182 -619
259 533 165
784 700 64
292 482 -24
486 410 -888
601 222 -311
90 22 862
694 766 553
517 524 919
106 661 418
88 320 904
20 310 -460
681 199 335
717 551 93
657 799 898
746 528 -470
214 406 -99
812 822 509
239 248 -47
672 136 840
438 36 199
318 270 907
17 208 891
287 80 -454
416 656 851
54 680 733
378 23 369
610 768 348
826 181 -449
266 486 715
656 358 477
521 19 8
173 629 935
752 452 -47
838 223 491
46 246 467
237 610 -728
310 80 59
798 602 926
272 345 752
409 302 -775
500 236 790
787 5 540
437 433 -623
243 631 188
666 699 -292
725 193 -622
516 748 -942
427 692 -634
170 518 409
538 50 -437
615 280 599
193 602 379
823 123 -405
189 450 -743
159 170 -366
330 656 724
509 787 255
847 677 136
381 405 -905
739 630 -948
474 763 -259
105 528 -457
132 675 -195
748 521 208
582 22 -110
236 328 -154
602 441 818
593 735 -750
200 284 -591
540 348 491
83 751 -115
841 356 106
587 86 -655
116 617 -454
724 591 338
20 13 359
398 614 -66
33 612 452
634 671 -961
370 38 137
201 508 202
736 216 -148
113 360 72
481 760 -358
606 13 -367
275 65 713
525 603 88
441 547 534
491 337 -665
342 622 -492
590 785 311
368 42 749
784 588 377
198 406 -435
646 639 -949
180 479 -836
370 249 283
228 659 109
641 819 -484
51 750 -200
202 98 -514
18 771 615
542 167 -867
787 29 588
425 783 -30
237 252 -34
757 572 -734
724 282 416
473 661 95
470 64 -649
175 719 -260
825 363 -757
606 3 -118
512 18 -286
587 797 542
282 424 -250
625 566 547
736 115 426
74 570 28
4 540 299
643 417 780
569 568 992
88 707 -735
846 441 -883
28 442 152
260 789 178
708 462 -423
129 593 -452
2 506 -465
484 490 782
407 836 514
822 635 -193
419 542 -102
426 2 856
500 276 589
149 288 863
224 7 -48
348 8 377
775 620 -826
8 617 949
573 421 -416
45 203 -675
284 834 364
160 316 75
675 159 802
32 340 573
182 364 -562
187 444 142
158 196 939
316 551 -311
419 445 943
289 116 -386
423 378 -367
249 105 -665
76 764 -343
483 817 -652
429 309 -203
792 249 -44
446 12 98
445 5 581
80 770 -414
704 720 485
65 370 -904
733 157 -353
130 194 631
561 344 369
714 242 41
745 179 -66
717 841 365
527 569 -616
503 407 -225
359 136 -460
485 90 -793
28 115 -167
26 56 606
848 815 -820
305 263 -406
594 265 -899
504 29 -555
257 269 242
228 584 -811
768 590 345
511 186 727
544 621 -420
606 163 822
289 603 -403
564 180 -938
183 125 415
487 11 -47
41 270 -336
255 227 -874
280 746 -330
407 430 692
194 17 755
342 422 560
836 766 -687
613 326 -285
375 35 245
336 676 326
625 541 14
739 331 -928
768 221 -373
832 543 640
139 299 565
144 503 647
271 623 553
148 834 633
111 744 895
258 771 -492
29 721 -142
694 681 -696
637 593 461
396 210 -530
637 25 -7
164 546 -810
280 230 -801
814 683 281
35 266 -361
669 404 958
474 618 -576
51 226 -299
720 440 794
648 774 -170
749 731 389
153 129 673
527 170 954
3 291 410
292 201 -322
318 620 -60
758 776 -58
673 168 -164
721 100 -78
609 131 -764
774 253 -996
168 704 -34
720 657 -32
111 408 -605
591 660 454
713 477 640
603 113 -320
32 215 235
643 361 -46
790 784 -987
591 14 928
130 801 15
559 545 -5
7 25 -91
379 41 427
614 310 -660
729 59 937
578 593 -462
342 151 742
65 544 -427
846 583 50
627 145 834
500 534 746
414 442 -114
842 267 25
597 208 887
604 145 319
721 410 495
599 780 -953
145 728 86
171 320 -556
160 509 407
108 414 -741
191 499 371
181 52 -577
651 129 37
288 218 -865
243 214 42
694 329 497
123 362 40
620 651 503
540 5 667
100 117 -3
76 379 -334
818 800 -426
121 257 875
23 348 -660
714 104 -354
133 265 -843
250 203 -557
286 665 -900
704 757 -651
692 485 352
757 35 -140
785 678 -544
508 391 313
518 837 -364
103 357 -522
557 599 978
408 452 446
402 754 640
692 233 156
67 829 956
800 263 -581
14 93 -337
148 734 -285
815 475 428
289 95 571
497 215 724
144 814 707
12 300 674
242 111 -369
288 211 -290
29 5 -849
65 133 381
842 641 433
375 362 280
221 582 -247
142 665 459
472 834 919
235 691 776
124 604 298
535 138 940
793 26 921
615 262 167
311 683 513
531 79 147
598 673 158
184 510 364
379 639 15
576 549 221
483 29 902
51 46 748
95 368 -13
188 328 -826
119 753 296
628 67 -336
611 839 77
205 280 -96
8 48 418
246 576 110
311 670 707
646 132 -907
216 700 804
280 376 481
